"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_supered","ch77_var_total","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_supers_use","ch77_lbs","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","chpost_var_total","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","date","ch77_qstatus","ch77_efb","ch77_deeps_num","ch77_mediums_num","frames_bees","frames_wbr","frames_dbr","frames_honey","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","ch77_lbs_C","ch77_kgs_C","post_lbs_C","post_kgs_C"
"1","22-001","Shaw","3/8/22","MOT","21-030",16,3,1,"3-Taktic",3,"3/10/22",21,3,24,309,2,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",5,"5/5/22","Y","QR","10","5/19/22","Y","QS",7,"",6,298,0,0,1,110.8,"Normal",1,"7/1/22",1,121.4,"QR",7,NA,15,292,8,0,"",NA,"","2022-05-24","QR",NA,2,2,2.675,1.7,0.05,4.325,"Amitraz EC","Synthetic"," NA",0,311,298,300,"QR QR QS QR ",0,0,0,0,1,0,110.8,50.3032,121.4,55.1156
"2","22-002","Shaw","3/8/22","MOT","21-030",16,3,1,"2-Apivar",2,"3/10/22",6,5,11,305,2,0,"3/26/22","QR","Y","L3",6,"4/7/22","Y","QR","Capped",NA,"12","#VALUE!",12,"4/21/22","N","QL",7.5,"5/5/22","Y","QR","10","5/19/22","Y","QR",9,"",3,362,2,0,1,127.6,"Normal",1,"7/1/22",1,149.2,"QR",16,NA,1,318,12,0,"",NA,"","2022-05-24","QS",NA,2,1,2.575,2.4625,0.175,6.1,"Apivar","Synthetic"," NA",0,307,364,330,"QL QR QR QS ",0,0,1,0,1,1,127.6,57.9304,149.2,67.7368
"3","22-003","Shaw","3/8/22","MOT","21-030",16,3,2,"4-Dribble18",4,"3/10/22",NA,NA,23,301,3,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","L4",7,"#VALUE!","23",23,"4/21/22","Y","QR",2.5,"5/5/22","Y","QR","8",NA,"Y","QR",4,"",NA,NA,NA,NA,1,95.2,"Normal",1,"7/1/22",1,91.6,"QS",4.5,1,32,369,5,0,"5/19/22",72,"Weak",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OA Dribble","Organic","Weak NA",0,304,NA,374,"QR QR QR NA Weak",0,1,0,0,1,1,95.2,43.2208,91.6,41.5864
"4","22-004","Shaw","3/8/22","MOT","20-1",1,2,5,"4-Dribble18",4,"3/10/22",NA,NA,0,293,2,0,"3/26/22","QR","Y","L1",4,"4/7/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",9,"5/5/22","Y","QR","15","5/19/22","Y","QR",17,"second super",1,265,12,0,2,176.6,"Normal",3,"7/1/22",3,227.2,"QR",17,NA,7,362,13,0,"",NA,"","2022-05-24","QS",NA,2,2,4.852,2.4875,0.1125,10.754,"OA Dribble","Organic"," NA",0,295,277,375,"QR QR QR QS ",0,0,0,0,1,0,164.6,74.7284,203.2,92.2528
"5","22-005","Shaw","3/8/22","MOT","20-1",1,2,5,"7-HopGuard",7,"3/10/22",NA,NA,1,301,3,0,"3/26/22","VQS","N",NA,NA,"4/7/22","Y","QR","White eye",13,"#VALUE!","17",17,"4/21/22","Y","QR",6.5,"5/5/22","Y","QS","12","5/19/22","Y","QR",17,"second super",1,404,3,0,2,165.4,"Normal",3,"7/1/22",3,201.8,"QR",14,NA,9,344,3,0,"",NA,"","2022-05-24","QS",NA,2,2,7.705,2.95,0.3,8.442,"HopGuard","Organic"," NA",0,304,407,347,"QR QS QR QS ",0,0,0,0,1,0,153.4,69.6436,177.8,80.7212
"6","22-006","Shaw","3/8/22","MOT","20-C5",7,3,2,"1-Control",1,"3/10/22",1,5,6,280,3,0,"3/26/22","QNS","N",NA,NA,"4/7/22","N","QL",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control","Failed to mate NA",0,283,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"7","22-007","Shaw","3/8/22","MOT","20-C5",7,3,2,"6-ManyDribble",6,"3/10/22",1,12,13,281,7,0,"3/26/22","QR","Y","L1",4,"4/7/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",8,"5/5/22","Y","QR","15","5/19/22","N","QL",9,"",32,232,45,0,1,134.4,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-May",77,"QL","2022-05-24","QL",NA,2,1,2,1.225,0,8.4,"5x OA Dribble","Organic","QL NA",0,288,277,NA,"QR QR QL QL QL",0,0,1,0,1,1,134.4,61.0176,NA,NA
"8","22-008","Shaw","3/8/22","MOT","20-C5",7,3,2,"3-Taktic",3,"3/10/22",NA,NA,8,264,6,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",5.5,"5/5/22","Y","QR","12","5/19/22","Y","QR",15,"",1,262,4,0,1,140,"Normal",2,"7/1/22",2,182.2,"QR",15,NA,12,328,4,0,"",NA,"","2022-05-24","QR",NA,2,1,4.474,2.225,0.25,7.564,"Amitraz EC","Synthetic"," NA",0,270,266,332,"QR QR QR QR ",0,0,0,0,1,0,140,63.56,170.2,77.2708
"9","22-009","Shaw","3/8/22","MOT","21-016",1,3,6,"3-Taktic",3,"3/10/22",NA,NA,1,267,1,0,"3/26/22","QS","Y","L5",8,"4/7/22","Y","QR","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",9,"5/5/22","Y","QR","15","5/19/22","Y","QR",15,"",2,296,9,0,1,158.6,"Normal",2,"7/1/22",2,194.4,"QL",10,1,6,347,10,0,"",NA,"","2022-05-24","QR",NA,2,1,5.251,1.8375,0,12.3025,"Amitraz EC","Synthetic"," NA",0,268,305,357,"QR QR QR QR ",0,0,0,0,1,0,158.6,72.0044,182.4,82.8096
"10","22-010","Shaw","3/8/22","MOT","21-016",1,3,6,"1-Control",1,"3/10/22",NA,NA,1,274,12,0,"3/26/22","QS","Y","L5",8,"4/7/22","Y","QR","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",8.5,"5/5/22","Y","QR","14","5/19/22","Y","QR",19,"",13,327,17,0,1,155,"Normal",2,"7/1/22",2,191.8,"QR",17,NA,51,359,1,0,"",NA,"","2022-05-24","QR",NA,2,1,6.325,2.0125,0.1,10.0286,"Control","Control"," NA",0,286,344,360,"QR QR QR QR ",0,0,0,0,1,0,155,70.37,179.8,81.6292
